User,Time,Content
Stardust,2009/11/5 18:23,特别喜欢这个版本的《悲惨世界》，最好的翻译，犹如一首圣歌~~~~
YanisL-17,2019/4/2 0:37,我真正的生命开始的地方。
完颜穆尔登格,2017/3/5 12:21,这也不是我读的那一版 ！
vine,2016/1/4 18:54,名为悲惨世界却没有一个悲惨结局
房鑫,2011/7/5 2:07,伟大精彩厚重的杰作，只有雨果这样的大师才能把握住他错综复杂的脉络，才能自始至终坚持他那站在人类高度而令人震撼的人道主义。
乌索坑,2012/4/26 16:53,童年看过的最棒小说了
人间草木,2012/12/12 19:54,上下两本，密密麻麻的小字。这是我迄今为止唯一一部没有看完整的雨果的小说。
萌汉垚,2017/6/27 0:00,我记得是我初中花了一个周末看完了，翻看到最后一章竟然就哭了。
Alise,2013/12/18 20:05,人性与大爱
erin,2015/10/12 10:28,雨果对于人类苦难命运的关心和对末来坚定不移的信念，具有震撼人心的艺术感染力
Fred001,2014/12/20 21:12,一星扣给翻译和装帧 这个版本相比人民文学版的翻译差太远
一江春水,2017/8/22 23:52,过程痛苦，但非常震撼。
reneryu,2014/8/10 4:13,雨果怎么能什么都知道呢？
潘允嫒,2018/11/17 20:00,人生至福，就是确信有人爱你，有人为你的现状而爱你，说得更准确些，有人不问你如何就爱你。
Ashley,2016/6/11 21:16,虽然里面很多历史描写略出戏，虽然主要情节都已经了如指掌，但是看到结局我还是哭成了傻逼。阿让叔自我救赎的一生啊，人要有多理想主义才能活成像他那般呢？
八斤,2013/5/17 9:19,正在读第二遍~~~
佚之猫,2018/9/26 9:58,“此刻读者展阅的这部书，无论存在怎样的间歇、例外或欠缺，但是从头至尾，从整体到细节，全是讲述人从恶走向善，从非正义走向正义，从假走向真，从黑夜走向光明，从欲望走向良心，从腐朽走向生命，从兽性走向责任，从地狱走向天堂，从虚无走向上帝。起点是物质，终点是灵魂。始为九头蛇，终成为天使。”因为爱，所以有进步，有宽恕；因为爱，所以愿意承担本不必有的罪孽，牺牲自己为他人谋幸福。
布林很灵,2019/1/26 15:12,几次心痛到泪流满面，必须再做好心理建设才能继续读下去。但，关于“无限”“上帝”那一章的论述，唔
觅宁,2008/7/5 13:54,此版本读了2遍
饿师兄,2014/12/7 20:12,用着听的
ArcadianQ,2015/4/20 21:54,雨果太天真，太浪漫。
captive,2010/8/23 16:21,"我老是分不清雨果究竟是过分残忍还是过分仁慈。

不过这是小学时候看得很惊心动魄的一本书。"
个人的事,2022/4/1 22:13,早前读的这一本，疫情笼罩下的现实世界就是悲惨世界。
184与164,2022/3/18 16:13,"精彩的地方非常精彩，文风华丽异常，气吞山河，犹如闪电霹雳划破夜空一般光辉璀璨，是雨果一贯的风格。可惜缺点也很明显，作者代入了太多自己的观点和感受，对于法国的社会面貌、风土人情、历史和人物，有大段大段的议论，游离于主剧情之外，仿佛一个自说自话的话唠，丝毫不顾及他人的感受。对于读者来说，无论是时间还是距离都太过遥远，陌生感和隔阂感十分严重，让人昏昏欲睡。
补充：废话实在太多了，剧情到了紧张的时候，作者突然花了十几页来自说自话的讲什么巴黎的下水道，有个毛线关系啊，一堆屁话。
另外沙威有点像九三年里的西穆尔丹，雨果是不是特别喜欢塑造这种人物。"
Over5,2021/11/9 13:36,以德報怨的Formula Code
stupidwanderer,2022/1/5 21:34,到底谁有权力把一个人判入地狱不得翻身？法律？上帝？冉阿让的两次自白也让我很纠结。一开始只想走主线剧情，后面读的渐入佳境，巴黎黑话和阴渠这两章写得超好，读起来也很有意思。最后一卷看得我嚎啕大哭，心疼这个被枷锁压了一辈子却一直在赎罪寻求光明的人。
夏天夏天,2022/5/30 14:15,很久很久之前看过
ABEANIN2020,2022/10/20 12:14,悲惨世界，书的内容和书名一样的宏伟。
Lily,2022/3/23 10:53,从小就读过得经典。有时候正义也是相对而言。社会就是这样。辩证的看，人性在任何时候都是一样的
哼哼不二,2022/5/16 17:45,只要那三大问题存在，这种书就还得流传
bigson,2022/7/11 20:32,“我不知道把烛台送给我的那一位，在天上对我是否满意”
Katherine景,2016/2/28 17:20,自由 平等
若泽·恩里克斯,2023/7/4 9:11,补标
donkeytommy,2023/3/9 22:04,073-5分。
厶喏,2013/1/14 12:43,没有书读了，重新复习一遍，感觉又不一样了
谢谢,2015/4/2 10:08,我一直敬佩内心善良慈闵的人，因为现在的我做不到吧。这种人原谅伤害，救赎一切罪恶，拯救一切堕落。这种人放佛生性就崇高，不懂得弊害，没有个人恩怨。一个地位强大的人行善，让我得到安慰，一个身份卑微的人行善，让我得到的是自惭形秽。双手合十，为善，为善。
列维斯特劳斯,2024/1/14 0:49,书读过 电影也看了 我们现在活的也不比悲惨世界更好
或许就象哥伦布,2012/8/6 14:41,芳汀读完，真的不知道怎么往下读了。
加纳马耳他,2012/12/3 22:46,日瓦让～哈哈
chouchou,2015/6/4 10:16,#小学#非该版
粥,2022/8/13 11:05,悲惨世界里仍有旭日，有微风，花香和鸟语，以及动人的爱与情，无谓的勇敢和对希望的憧憬。冉阿让，芳汀，珂赛特，马吕斯，马白夫，伽弗洛，爱潘妮，割风，米里哀主教，沙威，彭眉胥，吉诺曼祖父，每一个灵魂都迸发出别样的光辉，人性的丑恶不足以泯灭一个人生而为人的资格，人性的伟大也不能够换取凌驾于一切众生之上的特权。
Lucifer,2015/1/11 17:06,冉阿让，有自己内心的坚定。
阿然,2023/10/22 9:08,冉阿让的悲剧，他养女，那个法国社会，无力的挣扎
Caroline.,2013/1/12 9:26,人生百年 幕起幕落而已
better&better,2013/3/31 9:08,史诗般巨著，卓越的艺术魅力尽显。
水星,2022/1/17 4:18,读太早要重读系列+1
大上海舞厅头牌,2010/9/20 9:05,支持燕山！
落雨桥,2008/3/31 17:34,"《悲惨世界》是雨果的重要长篇小说。主人公冉阿让让为了养活姐姐的七个孩子偷了一片面包，被判苦役，19年后才获释。后来，他受福来主教感化，重新做人，改名马德兰，开设工厂，成了富翁，还当上市长。他受奄奄一息的女工芳汀的托付，领养她的私生女柯赛特。柯赛特长大后，在公园里遇上具有共和思想的年轻人马吕斯，两人一见钟情。这时爆发了一场共和党人的起义。冉阿让让将在街垒战中受伤的马吕斯救出，成全了一对年轻人的婚姻，但自己却一度受到误解，抑郁成疾，最后在柯赛特和马吕斯的怀里与世长辞。
　　 这是法国十九世纪浪漫派领袖雨果继"
illovemomy,2017/9/22 23:40,2017.7.14-2017.9.22
铎尔科夫,2017/6/20 9:07,即便是今天，也没有什么区别
Greenclouddd,2020/8/3 9:24,"震撼…很久都缓不过来…为什么没有早读到它呢？�
要把电影和音乐剧都补上了…还要在法国大革命方面做做功课～"
bear,2016/12/8 11:16,场景的描写真的很强大，当成小说来看，却学到了历史的内容
laojiang,2017/8/27 23:20,也是七十年代末读的。连续读了好几天。完全进入其中了。
Everland,2017/2/8 12:32,"可能超出了我的欣赏范畴，太多苦难，纪录片一般的战争让我欣赏无能
七年之后第二次重新读，几乎成为了我最喜欢的书。“在这里，白昼拥抱黑夜，并对黑夜说，我和你一道死去，而你和我一同复活”。几次读到哽咽，无法继续。"
marilyn,2015/3/19 22:02,名著啊 怎么好评分
dohoney,2015/4/8 0:27,悲惨世界，高尚人性
魔法师在新西兰,2017/1/12 15:21,巨著
祝福,2018/2/3 12:11,毕竟经典吧
Morning,2015/3/31 18:35,冉阿让成为了这样的一位圣人：把所有爱和慈悲给了别人，却把所有罪责和伤痛留给自己，晚年孤独得让人心疼的想咒骂这世界。（第一本听完的小说）
mountainriver,2016/1/3 15:17,若沙威不自杀，五星。
张小岩,2018/8/10 17:49,"找个时间把电影看了
悲剧 真是 无论时空的 只要有人存在
太痛苦了"
Christian,2017/1/31 13:48,温情
福州阿甘,2017/1/9 0:11,已购。
深巷樱桃,2014/2/15 22:43,重读1100页的悲惨世界，本来打算春节假期读完，结果从年三十足足读到十五，昨天晚上才合上最后一页，倒真是读到过完年了。从前读的时候略去各种大师炫技般旁枝末节的描述和议论，这次也耐心地读了，关于滑铁卢战争的描述，巴黎街景，黑道切口的发展，关于起义和暴动，巴黎下水道。。。雨果真有良心，其实这些单独拿出来又是一本书了。经典还是值得重读，重读也还是觉得震撼。
@止止,2015/5/27 23:02,最近工作压力实在是太大，平时没空也没心情看书了，估计这段时间是我毕业后阅读量的历史最低水平了。
Pennyfu,2017/12/21 11:33,里面的人性，有泯灭，也有闪光。
Errol,2012/8/7 16:23,第一次读的时候觉得雨果对场景之类不干正事的描述太多了。再读一次感觉果然是经典啊
R,2013/4/26 22:25,看过的第一部雨果的书
观止,2017/2/10 8:34,高三，读了一年，在现实世界和悲惨世界之间来回
无颜の柴郡猫,2013/9/22 13:09,读完之后……心里久久不能平静……尤其最后一段的冉阿让……一个苦役犯变成了天使……一个谦卑的人却给人一种伟岸的感觉……
阿伽墨得,2017/7/8 1:52,小时看，补录之
毛球,2019/1/14 23:12,感动
Lemon,2011/5/24 16:48,我永远记得那个阳光微凉的下午 我读完最后一个字心里的感动
篱笆墙上,2010/4/1 20:45,冉阿让真的很伟大
钱半文,2012/12/21 14:13,堪称完美的一部小说！！冉阿让，悔改的心灵，善良的化身，人类的楷模！读《悲惨世界》，完成一次灵魂的洗礼！
天使第三翼,2011/8/12 18:52,都是那个暑假看的书，这个必须推荐
Super伟,2017/12/29 15:39,第一卷看完，对于冉阿让和方汀的故事让人全面了解到十八世纪的欧洲的底层，雨果的这本悲惨世界简直就是世纪写实录，真实而残酷，让人边看边觉得怎么可以这么惨烈……一本不忍卒读的书，半路弃书了。
忘隙,2018/10/14 22:39,释放无限光明的是人心，制造无边黑暗的也是人心，光明和黑暗交织着，厮杀着，这就是我们为之眷恋而又万般无奈的人世间。
立夏的小提琴手,2014/7/25 20:19,小时看的这个出版社的 封面都不一样了 （´Д`）
桔子树,2019/7/21 13:23,已购买阅读，五星好评。欢迎阅读《童年在乡村》！
女巫若若,2019/7/2 13:18,伟大的时代才能孕育出的伟大作品，雨果堪称法国19世纪初的百科全书。刚开始只关心几个主角的命运，觉得评论和社会背景描写太多，后来慢慢习惯乃至喜欢上这些题外话，甚至超过对故事本身的关注。故事只描述几个人的命运，题外话却揭示出整个社会的苦难和抗争。唯一不喜欢的一点是，故事中的巧合和偶然事件太多了，主要剧情总是围绕少数几个人展开，有些情节离奇到让人感觉不真实。
葛小梁 Leon,2013/1/11 12:03,读过的经典不多，所以感觉也不是特别丰富。但至少情节吸引人，人物的特点也很鲜明。
雀斑,2013/8/7 10:41,人性，善意、宽容
strelizia,2016/8/27 4:01,雨果大神
兰室,2019/5/5 10:03,上学时在学校图书馆借过《悲惨世界》，读了个开头觉得读不懂就还回去了，如今快20年过去了，终于完整读完，质疑当时的自己有什么读不懂的。这本书太伟大了，不愧是世界名著，它不仅仅写故事，还包含着关于历史、战争、政治、经济、哲学、心理等等各种描写叙述。当然它讲述的这个故事是如此动人感人，一个人被救赎和救赎，还有其他或光荣或美好或卑劣或矛盾的人物，虽然篇幅长也一定要反复阅读，读了就能从中获益，并且感受到真正文学巨著的厚重与震撼。
Ein,2015/5/16 15:06,冉阿让的思想斗争转变没有刻画清楚呐……仍然读之落泪。
风绮啊,2013/3/18 21:22,我能说现在的我读这本书，除了部分章节大都觉得枯燥难理解么？
俞忱恂九,2010/3/22 11:31,人性？伟大？人性！伟大。
昊天有成命,2010/5/29 0:11,太经典了，史诗！
iWiNi,2018/7/9 7:03,有你，世界便美丽耀眼
echo,2018/2/25 8:30,大一期末考那时看的，清晰记得大家都在通宵达旦背邓论，我却痴迷于这本书、为此裸考。心目中可以与飘、围城相提并论的作品。
明日冰雪封山,2017/2/24 0:36,重读还是那么棒。看到最后冉阿让去世的时候泪如雨下。如此多磨难的一生啊。真的是很悲惨。偷了一次面包让这一辈子变得如此惨淡。
小屋君,2013/4/11 11:34,没有什么比信条更能产生梦想，没有什么比梦想更能孕育未来。今天的乌托邦，明天的骨肉！！
远方缘,2016/10/29 17:38,对人生的敬畏，对不知后果坚持的勇敢
猕猴桃君,2013/3/10 10:08,爱与宽恕。
revolu西n,2018/9/9 10:13,小说集中反映了雨果的人道主义思想，饱含了雨果对于人类苦难命运的关心和对末来坚定不移的信念
漱石枕流,2019/2/2 2:43,圣父劝你善良
苍隼,2016/1/16 17:47,李玉民翻译的太好了
芭芭拉l拉粑粑,2014/3/17 18:07,当然，灵魂的救赎也包括自我救赎
striker,2015/1/3 20:30,小时候看过动画片，之后看过电影，再读小说，依然深受震撼。
已注销,2017/2/10 16:08,我觉得有些过分神化冉阿让了，但他身上那种圣洁的力量以及与之相对的背负的不公让人几度落泪。我开始意识到宗教是有它自身的优越性所在的，正如基督所倡导的惠爱实在有一种救赎的力量，并生生不息地传递下去。对于信徒来说，上帝无处不在，他存在于每个人的内心，所以时时自我拷问反而真正地达到了慎独。反观我们古时所谓的圣人君子，倒像是为了向外讨要名声才尽力表现，少了些真心实意
